,City,Country,Date,Lat,Lng,Cloudiness,Humidity,Max Temp,Wind Speed
278,Necochea,AR,1554562794,-38.55,-58.74,0,63,293.467,6.92
279,Houma,CN,1554562795,35.63,111.36,36,44,285.817,0.97
280,San Cristobal,EC,1554561935,-0.39,-78.55,75,87,287.15,2.6
281,Rio Grande,BR,1554559200,-32.03,-52.1,75,94,293.15,4.1
282,Yumen,CN,1554562799,40.29,97.04,80,29,285.367,2.77
283,Lorengau,PG,1554562800,-2.02,147.27,68,98,301.617,2.87
284,Sibut,CF,1554562801,5.73,19.09,0,20,312.417,4.02
285,Hamilton,CA,1554562560,43.26,-79.87,75,70,283.71,2.1
286,Alamogordo,US,1554562624,32.9,-105.96,1,26,290.37,2.1
287,Narsaq,GL,1554558600,60.91,-46.05,40,28,280.15,5.1
288,Gandorhun,SL,1554562814,8.44,-10.86,48,66,305.167,1.87
289,Svetlaya,RU,1554562816,46.54,138.33,0,91,273.117,4.12
290,Praia,BR,1554562342,-20.25,-43.81,75,74,300.93,1.0
291,Lavrentiya,RU,1554562819,65.58,-170.99,36,85,257.917,2.12
292,Tolaga Bay,NZ,1554562820,-38.37,178.3,92,96,284.567,7.02
293,Epernay,FR,1554562807,45.45,5.88,92,66,287.15,5.7
294,Ayan,TR,1554562823,40.67,33.6,8,29,287.217,1.52
295,Buribay,RU,1554562824,51.96,58.16,8,94,274.317,1.22
296,Nikolskoye,RU,1554562728,59.7,30.79,0,20,287.15,4.0
297,Pangkalanbuun,ID,1554562642,-2.68,111.62,36,92,298.217,1.17
298,Zehdenick,DE,1554562805,52.98,13.33,0,26,295.15,5.1
299,Coihueco,CL,1554559200,-36.63,-71.83,0,71,286.15,3.1
300,Port Moresby,PG,1554562830,-9.47,147.16,92,100,299.917,3.02
301,Yerbogachen,RU,1554562831,61.28,108.01,0,63,268.267,3.27
302,Dongsheng,CN,1554562832,29.72,112.52,0,77,292.717,4.52
303,Altoona,US,1554562503,40.52,-78.39,40,87,284.26,1.42
304,Pimentel,BR,1554562835,-3.7,-45.5,92,100,295.717,1.87
305,Hailar,CN,1554562836,49.2,119.7,64,65,271.067,2.67
306,Schleswig,DE,1554562824,54.52,9.57,32,55,293.15,6.7
307,Torrington,US,1554562631,42.06,-104.18,1,51,285.93,5.7
308,Zatoka,PL,1554562814,50.04,20.52,75,87,283.71,1.0
309,Nanortalik,GL,1554562841,60.14,-45.24,44,93,274.017,10.32
310,Forrest City,US,1554562802,35.01,-90.79,12,82,290.37,3.17
311,Lodja,CD,1554562843,-3.52,23.6,20,70,303.417,1.47
312,Aragats,AM,1554561000,40.22,44.23,75,76,284.15,0.5
313,Saryg-Sep,RU,1554562846,51.49,95.55,76,90,271.767,0.97
314,Albenga,IT,1554562779,44.05,8.22,40,62,289.82,2.6
315,Krasnoslobodsk,RU,1554562848,54.42,43.79,68,84,276.317,3.87
316,Shushtar,IR,1554559200,32.05,48.86,75,54,300.15,1.0
317,Beidao,CN,1554562850,34.57,105.89,12,34,283.567,1.87
318,Gwadar,PK,1554562833,25.12,62.33,0,54,303.367,6.17
319,Jawhar,IN,1554562853,19.91,73.23,0,53,298.367,1.87
320,Anchorage,US,1554562812,61.22,-149.89,90,92,274.82,1.62
321,Novaya Bryan,RU,1554561000,51.72,108.27,0,30,273.15,2.0
322,Shenjiamen,CN,1554562857,29.96,122.3,0,86,288.917,6.77
323,Tilichiki,RU,1554562858,60.47,166.1,36,87,269.217,0.87
324,Zmeinogorsk,RU,1554562859,51.15,82.2,0,95,271.067,1.17
325,Rawson,AR,1554562860,-43.3,-65.11,76,33,295.667,5.57
326,Camopi,GF,1554562862,3.17,-52.33,68,66,302.317,1.62
327,Fremont,US,1554562714,37.55,-121.99,90,76,287.59,3.1
328,Guamuchil,MX,1554562815,25.47,-108.1,0,93,291.48,1.07
329,Waiouru,NZ,1554562865,-39.48,175.67,92,97,277.867,1.22
330,Vestmanna,FO,1554560400,62.16,-7.17,76,100,281.15,6.2
331,Leningradskiy,RU,1554562867,69.38,178.42,80,83,258.467,9.02
332,Jalu,LY,1554562869,29.03,21.55,0,61,299.317,4.67
333,Taoudenni,ML,1554562736,22.68,-3.98,12,21,300.317,5.97
334,Marrakesh,MA,1554561000,31.63,-7.99,40,54,288.15,2.6
335,Show Low,US,1554562869,34.25,-110.03,75,56,280.93,1.42
336,Berdigestyakh,RU,1554562873,62.1,126.7,24,75,268.817,2.62
337,Hasaki,JP,1554562363,35.73,140.83,20,87,284.15,1.5
338,Glinka,RU,1554562876,54.64,32.87,24,46,281.717,3.37
339,Samoded,RU,1554562877,63.61,40.52,36,78,276.817,1.32
340,Sao Filipe,CV,1554562878,14.9,-24.5,0,91,295.617,8.82
341,Ilulissat,GL,1554558600,69.22,-51.1,75,40,276.15,13.9
342,Marawi,PH,1554561993,8.0,124.29,92,89,298.15,1.79
343,Littleton,US,1554562842,39.61,-105.02,75,43,288.15,2.1
344,Takoradi,GH,1554562883,4.89,-1.75,0,88,303.167,4.87
345,Dingzhou,CN,1554559200,38.51,115.0,12,33,287.15,2.0
346,Fortuna,ES,1554562774,38.18,-1.13,40,45,290.37,5.7
347,Nkhata Bay,MW,1554562887,-11.61,34.3,56,76,299.117,1.87
348,Fare,PF,1554562888,-16.7,-151.02,64,99,302.167,6.37
349,College,US,1554562711,64.86,-147.8,20,53,270.15,3.6
350,Beyneu,KZ,1554562891,45.32,55.19,64,53,286.067,7.42
351,Lucelia,BR,1554559200,-21.72,-51.02,75,65,300.15,1.5
352,Karratha,AU,1554562893,-20.74,116.85,0,50,295.917,1.87
353,Muros,ES,1554562884,42.77,-9.06,40,70,287.04,6.7
354,China,MX,1554562896,25.71,-99.24,0,72,298.067,4.82
355,Malaryta,BY,1554559200,51.79,24.08,0,26,289.15,8.0
356,Sehithwa,BW,1554562898,-20.47,22.7,64,36,304.017,2.87
357,Palani,IN,1554562900,10.45,77.52,8,52,295.867,0.87
358,Jiwani,PK,1554562901,25.05,61.74,0,48,303.567,5.42
359,Guerrero Negro,MX,1554562902,27.97,-114.04,80,88,288.917,5.57
360,Tumbagaan,PH,1554562903,5.37,120.31,0,100,301.817,4.72
361,Clonakilty,IE,1554562389,51.62,-8.87,75,87,283.71,6.7
362,Isla Mujeres,MX,1554562343,21.23,-86.73,40,74,301.15,5.1
363,Toronto,CA,1554562474,43.65,-79.39,1,87,282.59,3.1
364,Richards Bay,ZA,1554562911,-28.77,32.06,56,93,293.117,5.77
365,Preobrazheniye,RU,1554562912,42.9,133.91,88,93,272.267,0.87
366,Mayna,RU,1554562913,53.0,91.49,92,96,274.717,1.77
367,Komsomolskiy,RU,1554562766,67.55,63.78,92,92,270.967,10.72
368,Alihe,CN,1554562916,50.57,123.73,68,64,272.567,2.22
369,Aswan,EG,1554559200,24.09,32.9,0,11,305.15,2.6
370,Xining,CN,1554562907,36.62,101.77,0,61,272.917,1.07
371,Ornskoldsvik,SE,1554560400,63.29,18.72,88,69,277.15,3.1
372,Lompoc,US,1554562920,34.64,-120.46,1,93,284.82,1.5
373,Ixtapa,MX,1554562870,20.71,-105.21,40,100,297.59,1.5
374,Amapa,HN,1554561613,15.09,-87.97,0,69,304.26,1.0
375,Agirish,RU,1554562924,61.92,63.02,0,56,273.017,2.67
